channel_name,title,views,upload_date,duration,url
MrBeast,7 Days Stranded On An Island,434M views,1 year ago,,https://www.youtube.com/watch?v=erLbbextvlY
MrBeast,"Stop This Train, Win a Lamborghini",240M views,1 year ago,,https://www.youtube.com/watch?v=mKdjycj-7eE
MrBeast,I Survived 7 Days In An Abandoned City,315M views,1 year ago,,https://www.youtube.com/watch?v=tWYsfOSY9vY
MrBeast,"Face Your Biggest Fear To Win $800,000",356M views,1 year ago,,https://www.youtube.com/watch?v=KOEfDvr4DcQ&pp=0gcJCQMKAYcqIYzv
MrBeast,"$1 vs $250,000,000 Private Island!",358M views,1 year ago,,https://www.youtube.com/watch?v=krsBRQbOPQ4
MrBeast,"Protect $500,000 Keep It!",186M views,1 year ago,,https://www.youtube.com/watch?v=7ESeQBeikKs
MrBeast,I Spent 7 Days In Solitary Confinement,265M views,1 year ago,,https://www.youtube.com/watch?v=K_CbgLpvH9E
MrBeast,I Adopted 100 Dogs!,359M views,1 year ago,,https://www.youtube.com/watch?v=lOKASgtr6kU
MrBeast,"Survive 100 Days Trapped, Win $500,000",427M views,1 year ago,,https://www.youtube.com/watch?v=9RhWXPcKBI8
MrBeast,"$10,000 Every Day You Survive In A Grocery Store",470M views,1 year ago,,https://www.youtube.com/watch?v=tnTPaLOaHz8
MrBeast,"$1 vs $10,000,000 Job!",291M views,1 year ago,,https://www.youtube.com/watch?v=Wdjh81uH6FU&pp=0gcJCQMKAYcqIYzv
MrBeast,I Spent 7 Days Buried Alive,282M views,1 year ago,,https://www.youtube.com/watch?v=7dYTw-jAYkY
MrBeast,I Built 100 Wells In Africa,255M views,2 years ago,,https://www.youtube.com/watch?v=mwKJfNYwvm8
MrBeast,"10 People Vs World's Deadliest Laser Maze for $250,000",288M views,2 years ago,,https://www.youtube.com/watch?v=QjvpjXdgugA
MrBeast,"$1 vs $100,000,000 House!",388M views,2 years ago,,https://www.youtube.com/watch?v=3ryID_SwU5E&pp=0gcJCQMKAYcqIYzv
MrBeast,World's Most Dangerous Trap!,326M views,2 years ago,,https://www.youtube.com/watch?v=3OFj6l2tQ9s
MrBeast,"$1 vs $100,000,000 Car!",503M views,2 years ago,,https://www.youtube.com/watch?v=KrLj6nc516A
MrBeast,Lamborghini Vs World's Largest Shredder,254M views,2 years ago,,https://www.youtube.com/watch?v=vBpQ1SlfVtU
MrBeast,"Every Country On Earth Fights For $250,000!",247M views,2 years ago,,https://www.youtube.com/watch?v=J_z-W4UVHkw&pp=0gcJCQMKAYcqIYzv
MrBeast,"$1 vs $250,000 Vacation!",397M views,2 years ago,,https://www.youtube.com/watch?v=jObOjhUkf50
MrBeast,7 Days Stranded At Sea,398M views,2 years ago,,https://www.youtube.com/watch?v=yhB3BgJyGl8
MrBeast,Train Vs Giant Pit,283M views,2 years ago,,https://www.youtube.com/watch?v=fuhE6PYnRMc
MrBeast,"$1 vs $1,000,000,000 Yacht!",507M views,2 years ago,,https://www.youtube.com/watch?v=48h57PspBec
MrBeast,"Ages 1 - 100 Fight For $500,000",445M views,2 years ago,,https://www.youtube.com/watch?v=FM7Z-Xq8Drc
MrBeast,"1,000 Deaf People Hear For The First Time",205M views,2 years ago,,https://www.youtube.com/watch?v=WTOm65IZneg
MrBeast,World's Most Expensive Flights!,525M views,2 years ago,,https://www.youtube.com/watch?v=1WEAJ-DFkHE
MrBeast,I Paid A Real Assassin To Try To Kill Me,321M views,2 years ago,,https://www.youtube.com/watch?v=YLt73w6criQ
MrBeast,"1,000 Blind People See For The First Time",210M views,2 years ago,,https://www.youtube.com/watch?v=TJ2ifmkGGus
MrBeast,I Survived 50 Hours In Antarctica,247M views,2 years ago,,https://www.youtube.com/watch?v=7IKab3HcfFk
MrBeast,Hydraulic Press Vs Lamborghini,262M views,2 years ago,,https://www.youtube.com/watch?v=h5NvTTOlOtI
MrBeast,"100 Kids Fight Parents For $500,000",324M views,2 years ago,,https://www.youtube.com/watch?v=0CTp1a-aCUM
MrBeast,11 YouTubers Fight For Private Jet!,242M views,2 years ago,,https://www.youtube.com/watch?v=kX3nB4PpJko
MrBeast,"$1 vs $1,000,000 Hotel Room!",416M views,3 years ago,,https://www.youtube.com/watch?v=iogcY_4xGjo
MrBeast,"Survive 100 Days In Circle, Win $500,000",383M views,3 years ago,,https://www.youtube.com/watch?v=gHzuabZUd6c&pp=0gcJCQMKAYcqIYzv
MrBeast,I Hunted 100 People!,257M views,3 years ago,,https://www.youtube.com/watch?v=65fN_OUawjk
MrBeast,Can I Survive A Plane Crash?,227M views,3 years ago,,https://www.youtube.com/watch?v=jdMNoQE3mIQ
MrBeast,100 People Fight For A Private Island,249M views,3 years ago,,https://www.youtube.com/watch?v=2isYuQZMbdU
MrBeast,"100 Boys Vs 100 Girls For $500,000",285M views,3 years ago,,https://www.youtube.com/watch?v=tVWWp1PqDus
MrBeast,I Didn’t Eat Food For 30 Days,125M views,3 years ago,,https://www.youtube.com/watch?v=vaIgyRoUkQI
MrBeast,I Built Willy Wonka's Chocolate Factory!,363M views,3 years ago,,https://www.youtube.com/watch?v=Hwybp38GnZw
MrBeast,"$10,000 Every Day You Survive Prison",243M views,3 years ago,,https://www.youtube.com/watch?v=hD1YtmKXNb4
MrBeast,"Would You Swim With Sharks For $100,000?",205M views,3 years ago,,https://www.youtube.com/watch?v=LnlKwzc_TNA
MrBeast,World’s Most Dangerous Escape Room!,288M views,3 years ago,,https://www.youtube.com/watch?v=3jS_yEK8qVI
MrBeast,"Extreme $1,000,000 Hide And Seek",109M views,3 years ago,,https://www.youtube.com/watch?v=00NgUctWoLQ&pp=0gcJCQMKAYcqIYzv
